証券コード	業種	会社名	平均年収	従業員数	平均年齢	平均勤続年数	情報公開日
5644	鉄鋼	メタルアート	"4,545,000 "	342 	35.9 	10.5 	2010/6/29
5645	鉄鋼	イチタン	"5,098,000 "	204 	36.0 	14.2 	2010/6/30
5657	鉄鋼	鈴木金属工業	"4,999,172 "	456 	35.4 	12.4 	2010/6/25
5658	鉄鋼	日亜鋼業	"4,360,000 "	224 	37.5 	13.7 	2010/6/29
5659	鉄鋼	日本精線	"5,221,690 "	700 	39.4 	17.9 	2010/6/30
5660	鉄鋼	神鋼鋼線工業	"5,700,000 "	546 	36.7 	13.8 	2010/6/23
5691	上場廃止	東京シヤリング	"4,955,887 "	200 	41.3 	14.3 	2003/6/27
5695	鉄鋼	パウダーテック	"6,552,652 "	161 	41.2 	15.7 	2010/6/29
5697	鉄鋼	サンユウ	"4,882,186 "	164 	36.0 	14.1 	2010/6/30
5701	非鉄金属	日本軽金属	"5,072,576 "	"1,927 "	39.8 	15.7 	2010/6/29
5702	非鉄金属	大紀アルミニウム工業所	"5,632,148 "	332 	39.4 	12.5 	2010/6/25
5706	非鉄金属	三井金属	"6,598,082 "	"2,800 "	40.9 	17.3 	2010/6/29
5707	非鉄金属	東邦亜鉛	"4,823,000 "	638 	42.9 	20.0 	2010/6/29
5711	非鉄金属	三菱マテリアル	"6,527,000 "	"5,960 "	40.4 	17.9 	2010/6/29
5713	非鉄金属	住友金属鉱山	"6,809,000 "	"2,378 "	40.5 	18.3 	2010/6/25
5714	非鉄金属	ＤＯＷＡホールディングス	"7,161,000 "	92 	43.3 	15.3 	2010/6/24
5715	非鉄金属	古河機械金属	"6,816,745 "	207 	43.3 	16.6 	2010/6/29
5716	上場廃止	日鉱金属	"6,701,000 "	"1,062 "	40.6 	19.1 	2002/6/26
5721	非鉄金属	エス・サイエンス	"3,976,000 "	143 	41.3 	10.9 	2010/6/29
5724	非鉄金属	アサカ理研	"5,540,993 "	181 	40.4 	10.0 	2009/12/24
5726	非鉄金属	大阪チタニウムテクノロジーズ	"5,810,400 "	652 	37.8 	14.3 	2010/6/24
5727	非鉄金属	東邦チタニウム	"5,182,000 "	787 	37.8 	13.1 	2010/6/29
5728	上場廃止	アライドマテリアル	"5,952,881 "	225 	41.5 	16.8 	2004/6/29
5729	非鉄金属	日本精鉱	"4,797,800 "	85 	45.8 	21.2 	2010/6/30
5738	非鉄金属	住友軽金属工業	"5,537,292 "	"2,351 "	38.9 	16.3 	2010/6/29
5739	上場廃止	日本製箔	"6,194,000 "	261 	42.5 	20.6 	2009/6/19
5740	上場廃止	九州不二サッシ	"4,537,183 "	693 	41.0 	20.0 	2004/6/29
5741	非鉄金属	古河スカイ	"6,428,000 "	"2,186 "	42.3 	19.9 	2010/6/25
5742	非鉄金属	エヌアイシ・オートテック	"3,615,000 "	145 	38.1 	8.0 	2010/6/28
5753	非鉄金属	日本伸銅	"3,952,000 "	165 	38.8 	12.2 	2010/6/29
5756	上場廃止	東海アルミ箔	"5,239,211 "	308 	40.7 	15.3 	2007/6/28
5757	非鉄金属	サンエツ金属	"4,510,000 "	426 	34.3 	8.2 	2010/6/22
5758	非鉄金属	ＦＣＭ	"4,970,000 "	251 	36.8 	8.2 	2010/6/23
5771	上場廃止	三菱伸銅	"5,961,000 "	587 	38.2 	14.6 	2007/6/28
5781	非鉄金属	東邦金属	"4,123,000 "	390 	36.3 	15.2 	2010/6/29
5801	非鉄金属	古河電気工業	"6,551,629 "	"4,326 "	41.3 	18.6 	2010/6/29
5802	非鉄金属	住友電気工業	"6,840,000 "	"4,173 "	40.3 	16.0 	2010/6/25
5803	非鉄金属	フジクラ	"6,622,000 "	"3,060 "	39.6 	15.4 	2010/6/29
5804	上場廃止	三菱電線工業	"5,586,880 "	"1,294 "	41.8 	18.9 	2009/6/26
5805	非鉄金属	昭和電線ホールディングス	"6,559,000 "	50 	45.6 	19.2 	2010/6/25
5807	非鉄金属	東京特殊電線	"4,472,000 "	618 	41.5 	18.2 	2010/6/25
5808	上場廃止	理研電線	"5,562,573 "	261 	44.5 	23.2 	2008/6/26
5809	非鉄金属	タツタ電線	"5,585,278 "	459 	41.1 	18.2 	2010/6/25
5811	上場廃止	トヨクニ電線	"6,233,000 "	326 	39.8 	15.1 	2007/6/27
5812	非鉄金属	日立電線	"6,060,452 "	"4,154 "	39.8 	17.2 	2010/6/24
5815	非鉄金属	沖電線	"5,295,643 "	349 	40.5 	18.9 	2010/6/29
5816	非鉄金属	オーナンバ	"5,894,134 "	120 	46.4 	14.7 	2010/6/29
5817	非鉄金属	日本電線工業	"4,531,133 "	147 	39.4 	12.9 	2010/5/28
5819	非鉄金属	カナレ電気	"7,015,000 "	124 	41.6 	14.1 	2010/6/14
5820	非鉄金属	三ッ星	"4,353,721 "	281 	40.6 	15.4 	2010/6/30
5821	非鉄金属	平河ヒューテック	"4,570,500 "	514 	40.6 	19.8 	2010/6/29
5851	非鉄金属	リョービ	"4,736,079 "	"2,130 "	40.8 	18.1 	2010/6/23
5852	非鉄金属	アーレスティ	"4,750,244 "	"1,049 "	37.2 	12.2 	2010/6/23
5854	上場廃止	東京理化工業所	"3,736,035 "	315 	38.6 	13.4 	2004/6/28
5855	上場廃止	アサヒプリテック	"5,858,769 "	"1,017 "	37.0 	9.5 	2009/6/18
5856	非鉄金属	東理ホールディングス	"4,911,000 "	6 	47.8 	2.0 	2010/6/30
5857	非鉄金属	アサヒホールディングス	"6,707,041 "	15 	36.7 	0.9 	2010/6/17
5900	金属製品	ダイケン	"5,533,000 "	339 	42.1 	18.0 	2010/5/24
5901	金属製品	東洋製罐	"7,147,584 "	"5,730 "	43.0 	21.5 	2010/6/28
5902	金属製品	ホッカンホールディングス	"7,804,000 "	24 	42.6 	12.5 	2010/6/30
5903	金属製品	ＳＨＩＮＰＯ	"5,300,104 "	78 	39.1 	8.6 	2009/9/25
5904	上場廃止	アルコア・クロージャー・システムズ	"6,620,000 "	286 	36.3 	12.5 	2008/3/28
5905	金属製品	日本製罐	"6,165,151 "	160 	43.7 	16.9 	2010/6/29
5906	金属製品	エムケー精工	"4,483,343 "	803 	41.1 	13.8 	2010/6/18
5907	金属製品	ＪＦＥコンテイナー	"6,581,000 "	260 	45.9 	19.2 	2010/6/29
5908	上場廃止	日鐵ドラム	"6,549,975 "	223 	43.0 	18.7 	2007/6/26
5909	金属製品	コロナ	"5,043,000 "	"1,772 "	40.5 	16.6 	2010/6/30
5911	金属製品	横河ブリッジホールディングス	"7,114,822 "	52 	42.3 	19.0 	2010/6/29
5912	金属製品	日本橋梁	"5,125,000 "	155 	40.4 	14.9 	2010/6/30
5913	上場廃止	松尾橋梁	"5,351,089 "	216 	44.1 	18.8 	2009/6/26
5914	上場廃止	宮地鐵工所	"6,643,000 "	558 	42.4 	17.0 	2003/6/27
5915	金属製品	駒井鉄工	"5,913,696 "	284 	41.9 	15.7 	2010/6/30
5916	金属製品	ハルテック	"5,831,000 "	192 	43.2 	17.9 	2010/6/28
5917	金属製品	サクラダ	"5,399,242 "	138 	46.8 	17.3 	2010/6/29
5918	金属製品	瀧上工業	"4,673,990 "	222 	43.6 	19.2 	2010/6/30
5919	金属製品	ＪＳＴ	"5,412,622 "	45 	45.8 	18.5 	2010/6/30
5921	金属製品	川岸工業	"5,312,880 "	292 	41.3 	13.3 	2009/12/21
5922	金属製品	那須電機鉄工	"5,026,000 "	434 	41.3 	18.2 	2010/6/29
5923	金属製品	高田機工	"5,671,482 "	292 	43.3 	15.9 	2010/6/25
5926	上場廃止	安治川鉄工	"4,448,089 "	271 	40.3 	15.3 	2004/6/30
5928	金属製品	アルメタックス	"4,013,938 "	479 	40.7 	11.6 	2010/6/29
5929	金属製品	三和ホールディングス	"7,345,720 "	51 	45.2 	17.7 	2010/6/25
5930	金属製品	文化シヤッター	"5,406,894 "	"2,595 "	42.6 	17.0 	2010/6/29
5931	上場廃止	川田工業	"5,287,851 "	"1,151 "	43.8 	20.3 	2008/6/30
5932	上場廃止	三協アルミニウム工業	"4,495,000 "	"4,705 "	41.2 	19.1 	2003/8/29
5933	金属製品	アルインコ	"5,344,000 "	705 	38.3 	11.3 	2010/6/18
5934	上場廃止	日本アルミ	"5,495,000 "	528 	43.5 	17.6 	2009/6/26
5935	金属製品	元旦ビューティ工業	"4,848,250 "	219 	42.8 	12.6 	2010/6/30
5936	金属製品	東洋シヤッター	"4,833,000 "	654 	40.8 	16.6 	2010/6/22
5938	金属製品	住生活グループ	"10,477,081 "	44 	44.5 	16.5 	2010/6/18
5939	金属製品	大谷工業	"4,848,711 "	175 	40.4 	17.3 	2010/6/28
5940	金属製品	不二サッシ	"4,408,000 "	"1,153 "	40.1 	16.6 	2010/6/29
5941	金属製品	中西製作所	"5,628,000 "	411 	39.4 	13.0 	2010/6/30
5942	金属製品	日本フイルコン	"5,683,451 "	690 	38.1 	16.0 	2010/2/24
5943	金属製品	ノーリツ	"6,076,848 "	"2,692 "	40.7 	17.2 	2010/3/30
5944	上場廃止	日立粉末冶金	"6,523,942 "	892 	38.6 	15.3 	2008/6/26
5945	金属製品	天龍製鋸	"5,111,209 "	200 	41.9 	18.0 	2010/6/30
5946	金属製品	長府製作所	"5,791,025 "	"1,219 "	41.3 	18.1 	2010/3/31
5947	金属製品	リンナイ	"5,315,637 "	"3,725 "	35.6 	13.6 	2010/6/29
5949	輸送用機器	ユニプレス	"5,411,000 "	"2,207 "	41.0 	17.3 	2010/6/25
5950	金属製品	日本パワーファスニング	"4,045,000 "	221 	37.2 	11.9 	2010/3/31
5951	金属製品	ダイニチ工業	"5,364,505 "	448 	37.8 	15.4 	2010/6/25
5952	金属製品	アマテイ	"4,036,000 "	107 	43.4 	13.3 	2010/6/29
5953	金属製品	昭和鉄工	"4,763,448 "	355 	41.3 	17.3 	2010/6/25
5954	金属製品	トープラ	"4,843,147 "	600 	37.5 	14.0 	2010/6/18
5955	金属製品	ヤマシナ	"3,913,000 "	218 	39.1 	14.0 	2010/6/28
5956	金属製品	トーソー	"5,132,000 "	606 	39.8 	12.8 	2010/6/30
5957	金属製品	日東精工	"5,388,440 "	686 	42.2 	21.8 	2010/3/31
5958	金属製品	三洋工業	"5,241,635 "	536 	42.3 	18.2 	2010/6/30
5959	金属製品	岡部	"5,194,300 "	601 	39.4 	14.0 	2010/3/26
5962	その他製品	浅香工業	"4,542,000 "	175 	43.6 	17.1 	2010/6/29
5963	機械	日立ツール	"5,136,231 "	702 	38.5 	16.1 	2010/6/24
5964	金属製品	東洋刃物	"3,464,000 "	387 	40.1 	18.2 	2010/6/30
5965	金属製品	フジマック	"4,730,024 "	724 	39.2 	14.9 	2010/6/25
5966	金属製品	ＫＴＣ	"4,489,615 "	235 	42.9 	19.1 	2010/6/30
5967	金属製品	前田金属工業	"5,084,188 "	168 	39.3 	12.8 	2009/8/28
5969	金属製品	ロブテックス	"4,088,000 "	85 	44.4 	20.6 	2010/6/25
5970	金属製品	菊池プレス工業	"4,315,259 "	760 	35.8 	10.5 	2010/6/18
5971	金属製品	共和工業所	"4,026,888 "	270 	35.2 	11.6 	2010/7/26
5972	上場廃止	日本建鐵	"5,345,576 "	591 	42.4 	18.8 	2005/6/29
5973	金属製品	トーアミ	"4,899,108 "	312 	40.7 	11.7 	2010/6/30
5974	金属製品	中国工業	"4,020,178 "	311 	46.1 	25.2 	2010/6/30
5975	金属製品	東プレ	"5,939,000 "	"1,217 "	37.9 	16.0 	2010/6/28
5976	金属製品	ネツレン	"5,080,000 "	872 	37.4 	15.2 	2010/6/25
5977	上場廃止	ＳＵＭＣＯ　ＴＥＣＨＸＩＶ	"5,966,838 "	"2,724 "	37.0 	15.3 	2008/4/24
5979	金属製品	カネソウ	"4,263,254 "	255 	39.7 	14.5 	2010/6/29
5980	金属製品	田中亜鉛鍍金	"5,329,720 "	204 	42.6 	16.8 	2010/6/30
5981	金属製品	東京製綱	"5,633,738 "	"1,210 "	43.1 	20.3 	2010/6/29
5982	金属製品	マルゼン	"4,744,770 "	948 	35.8 	9.3 	2010/5/28
5983	金属製品	イワブチ	"5,922,972 "	329 	40.9 	12.7 	2010/6/29
5984	金属製品	兼房	"5,148,514 "	672 	39.7 	18.6 	2010/6/24
5985	金属製品	サンコール	"5,220,073 "	516 	37.0 	12.9 	2010/6/24
5986	金属製品	モリテック　スチール	"4,848,086 "	292 	38.4 	14.8 	2010/6/25
5987	金属製品	オーネックス	"4,884,357 "	309 	38.0 	14.1 	2009/9/28
5988	金属製品	パイオラックス	"5,394,322 "	746 	40.3 	16.6 	2010/6/30
5989	金属製品	エイチワン	"5,692,100 "	"1,734 "	37.8 	14.9 	2010/6/24
5990	金属製品	スーパーツール	"4,442,529 "	155 	38.5 	13.0 	2010/6/10
5991	金属製品	ニッパツ	"6,402,306 "	"4,667 "	38.1 	15.4 	2010/6/30
5992	金属製品	中央発條	"5,054,415 "	"1,667 "	37.5 	14.3 	2010/6/28
5993	金属製品	知多鋼業	"3,460,000 "	382 	35.9 	8.8 	2010/5/28
5994	金属製品	ファインシンター	"5,446,000 "	"1,063 "	38.0 	13.2 	2010/6/28
5995	金属製品	日本科学冶金	"4,655,882 "	130 	42.7 	19.8 	2010/6/29
5996	機械	新立川航空機	"5,027,969 "	75 	45.3 	16.8 	2010/6/28
5997	金属製品	協立エアテック	"4,003,000 "	304 	36.5 	11.1 	2010/3/30
5998	金属製品	アドバネクス	"4,072,808 "	357 	41.1 	15.3 	2010/6/25
5999	金属製品	イハラサイエンス	"3,950,489 "	359 	44.7 	18.4 	2010/6/22
6005	機械	三浦工業	"5,931,511 "	"2,672 "	35.2 	11.2 	2010/6/30
6013	機械	タクマ	"7,026,026 "	749 	43.6 	15.1 	2010/6/30
6016	輸送用機器	神戸発動機	"5,701,302 "	223 	38.2 	11.9 	2010/6/30
6018	輸送用機器	阪神内燃機工業	"5,566,987 "	387 	41.3 	19.9 	2010/6/29
6020	上場廃止	神鋼造機	"5,377,091 "	257 	44.6 	20.4 	2006/6/30
6021	上場廃止	富士ロビン	"4,901,114 "	360 	43.0 	15.8 	2007/6/29
6022	機械	赤阪鐵工所	"4,886,845 "	366 	42.3 	18.6 	2010/6/29
6023	輸送用機器	ダイハツディーゼル	"6,467,000 "	"1,019 "	43.7 	19.4 	2010/6/29
6041	上場廃止	ボッシュ	"6,893,826 "	"5,945 "	42.3 	18.3 	2008/3/27
6042	輸送用機器	ニッキ	"4,930,327 "	285 	37.2 	14.4 	2010/6/25
6101	機械	ツガミ	"4,779,000 "	564 	43.5 	18.7 	2010/6/21
6103	機械	オークマ	"4,911,000 "	"2,131 "	40.7 	18.3 	2010/6/29
6104	機械	東芝機械	"5,307,170 "	"1,534 "	42.3 	19.7 	2010/6/28
6111	機械	旭精機工業	"4,625,000 "	482 	42.5 	18.5 	2010/6/29
6112	機械	小島鉄工所	"5,883,646 "	99 	46.0 	19.0 	2010/2/25
6113	機械	アマダ	"5,902,000 "	"2,100 "	42.4 	17.7 	2010/6/29
6118	機械	アイダエンジニアリング	"5,235,000 "	755 	39.6 	14.0 	2010/6/29
6119	上場廃止	ゼィープラス	"5,177,247 "	46 	34.4 	3.0 	2004/6/29
6121	機械	滝澤鉄工所	"4,320,000 "	328 	42.6 	15.6 	2010/6/29
6125	機械	岡本工作機械製作所	"4,700,000 "	304 	40.2 	15.7 	2010/6/29
6130	上場廃止	日平トヤマ	"5,030,462 "	692 	39.5 	16.7 	2008/6/27
6131	機械	浜井産業	"4,263,000 "	135 	41.0 	18.1 	2010/6/29
6134	機械	富士機械製造	"5,437,000 "	"1,635 "	38.1 	13.1 	2010/6/30
6135	機械	牧野フライス製作所	"4,290,064 "	"1,305 "	36.4 	13.8 	2010/6/23
6136	機械	ＯＳＧ	"4,830,616 "	"1,852 "	38.9 	14.1 	2010/2/22
6137	機械	小池酸素工業	"6,118,289 "	441 	39.3 	13.3 	2010/6/29
6138	機械	ダイジェット工業	"4,029,000 "	646 	41.2 	18.9 	2010/6/29
6139	上場廃止	東芝タンガロイ	"6,388,608 "	"1,298 "	41.3 	18.7 	2008/6/24
6140	機械	旭ダイヤモンド工業	"6,148,000 "	"1,052 "	40.8 	19.0 	2010/6/30
6141	機械	森精機製作所	"5,975,000 "	"2,319 "	35.3 	11.1 	2010/6/18
6142	機械	富士精工	"4,471,770 "	441 	39.5 	17.0 	2010/5/21
6143	機械	ソディック	"4,688,592 "	289 	40.1 	6.3 	2010/6/29
6144	機械	西部電機	"5,377,000 "	443 	41.8 	18.9 	2010/6/29
6145	機械	日特エンジニアリング	"4,731,758 "	327 	38.9 	13.4 	2010/6/28
6146	機械	ディスコ	"5,332,926 "	"2,545 "	36.5 	10.8 	2010/6/25
6147	機械	ヤマザキ	"3,806,222 "	189 	44.0 	13.9 	2010/6/29
6148	上場廃止	ＵＨＴ	"5,255,000 "	133 	37.9 	11.8 	2007/7/27
6149	機械	小田原エンジニアリング	"6,100,549 "	100 	42.5 	17.3 	2010/3/30
6150	機械	タケダ機械	"4,360,119 "	124 	39.8 	11.3 	2009/8/28
6151	機械	日東工器	"6,290,000 "	438 	40.9 	14.6 	2010/6/23
6155	機械	高松機械工業	"3,852,827 "	396 	34.7 	11.3 	2010/6/25
6156	機械	エーワン精密	"4,213,000 "	89 	39.7 	11.4 	2009/9/28
6157	機械	日進工具	"4,385,048 "	181 	32.5 	7.4 	2010/6/28
6158	機械	和井田製作所	"5,163,000 "	143 	41.0 	16.3 	2009/9/17
6159	機械	ミクロン精密	"3,247,000 "	204 	38.4 	13.5 	2010/2/19
6160	上場廃止	ソディックハイテック	"5,101,000 "	475 	38.4 	3.5 	2008/6/27
6161	機械	エスティック	"4,442,000 "	68 	36.2 	7.0 	2010/6/16
6162	機械	ミヤノ	"4,672,000 "	378 	39.2 	15.0 	2010/6/23
6163	機械	エイチアンドエフ					2010/6/25
6164	機械	太陽工機	"4,501,000 "	172 	32.5 	5.6 	2010/6/23
6201	輸送用機器	豊田自動織機	"6,431,451 "	"13,401 "	35.8 	13.5 	2010/6/23
6203	機械	豊和工業	"4,009,000 "	980 	41.6 	20.4 	2010/6/25
6205	機械	ＯＫＫ	"4,324,000 "	489 	40.7 	19.1 	2010/6/28
6206	上場廃止	豊田工機	"6,930,599 "	"3,878 "	41.7 	19.7 	2005/6/23
6208	機械	石川製作所	"3,469,000 "	257 	45.7 	22.8 	2010/6/30
6210	機械	東洋機械金属	"4,610,000 "	420 	38.3 	13.1 	2010/6/22
6211	機械	倉敷機械	"4,080,429 "	246 	39.4 	14.5 	2010/6/18
6212	上場廃止	帝人製機	"6,389,000 "	940 	43.0 	20.8 	2003/6/25
6213	機械	オーエム製作所	"6,056,074 "	273 	40.6 	18.0 	2010/6/25
6214	上場廃止	大隈豊和機械	"5,817,000 "	440 	41.2 	19.0 	2005/6/29
6216	上場廃止	壽工業	"4,247,553 "	76 	44.9 	10.4 	2003/6/26
6217	機械	津田駒工業	"4,868,515 "	952 	43.4 	21.2 	2010/2/25
6218	機械	エンシュウ	"3,647,000 "	728 	38.4 	15.3 	2010/6/29
6221	上場廃止	大東製機	"3,957,000 "	317 	39.3 	13.5 	2004/6/29
6222	機械	島精機製作所	"5,476,297 "	"1,191 "	40.3 	18.0 	2010/6/30
6242	機械	日本スピンドル製造	"5,425,000 "	338 	41.8 	16.4 	2010/6/29
6245	機械	ヒラノテクシード	"6,189,101 "	227 	40.9 	16.7 	2010/6/29
6246	機械	井上金属工業	"5,052,551 "	256 	38.8 	13.5 	2010/6/28
6247	機械	日阪製作所	"6,189,216 "	447 	36.1 	13.6 	2010/6/29
6250	機械	やまびこ	"5,785,506 "	"1,260 "	41.6 	17.4 	2010/6/30
6252	機械	ＴＡＩＹＯ	"4,703,433 "	742 	38.6 	15.4 	2010/6/14
6254	機械	野村マイクロ・サイエンス	"4,751,798 "	368 	40.0 	10.4 	2010/6/24
6255	機械	エヌ・ピー・シー	"3,841,796 "	276 	34.9 	2.5 	2009/11/30
6256	機械	ニューフレアテクノロジー	"5,920,000 "	433 	40.4 	10.4 	2010/6/23
6257	機械	藤商事	"6,755,000 "	378 	35.3 	7.8 	2010/6/28
6258	機械	平田機工	"4,488,164 "	"1,258 "	40.2 	18.1 	2010/6/25
6259	機械	大崎エンジニアリング	"5,114,000 "	153 	39.6 	8.0 	2010/6/24
6260	機械	アドテックエンジニアリング	"4,304,000 "	253 	35.1 	8.0 	2009/12/22
6261	機械	日本ゲームカード	"6,217,565 "	267 	40.4 	8.6 	2010/6/23
6262	機械	ペガサスミシン製造	"4,672,000 "	239 	44.6 	19.8 	2010/6/23
6263	上場廃止	プロデュース	"4,563,991 "	181 	37.1 	2.2 	2007/9/27
6264	機械	マルマエ	"3,013,000 "	124 	33.9 	2.0 	2009/11/30
6265	機械	妙徳	"3,556,273 "	107 	37.7 	9.6 	2010/6/24
6266	機械	タツモ	"4,026,036 "	416 	39.6 	13.4 	2010/3/30
6267	機械	ゼネラルパッカー	"4,917,718 "	132 	34.6 	13.0 	2009/10/26
6268	機械	ナブテスコ	"6,718,000 "	"2,006 "	43.4 	21.3 	2010/6/25
6269	機械	三井海洋開発	"9,003,000 "	152 	41.6 	7.1 	2010/3/30
6271	機械	ニッセイ	"4,431,000 "	734 	41.3 	15.1 	2010/6/18
6272	機械	レオン自動機	"5,373,919 "	697 	42.8 	19.3 	2010/6/30
6273	機械	ＳＭＣ	"5,102,491 "	"7,900 "	36.0 	14.2 	2010/6/29
6274	機械	新川	"5,204,379 "	458 	39.5 	12.9 	2010/6/29
6276	機械	ナビタス	"4,164,000 "	84 	40.7 	10.7 	2010/6/30
6277	機械	ホソカワミクロン	"6,526,038 "	374 	41.1 	18.0 	2009/12/22
6278	機械	ユニオンツール	"4,208,591 "	783 	35.2 	12.3 	2010/2/24
6279	機械	瑞光	"6,017,890 "	179 	37.4 	10.6 	2010/5/14
6280	機械	名機製作所	"4,334,800 "	168 	40.0 	17.0 	2010/6/29
6281	機械	前田製作所	"4,739,578 "	622 	43.3 	19.8 	2010/6/25
6282	機械	オイレス工業	"6,950,883 "	"1,073 "	42.2 	14.1 	2010/6/29
6284	機械	日精エー・エス・ビー機械	"4,801,536 "	205 	38.4 	11.5 	2009/12/18
6286	機械	靜甲	"5,006,273 "	319 	38.9 	16.0 	2010/6/25
6287	機械	サトー	"6,070,943 "	"1,349 "	38.8 	12.2 	2010/6/21
6289	機械	技研製作所	"5,270,000 "	306 	31.8 	9.7 	2009/11/27
6290	上場廃止	エス・イー・エス	"5,852,859 "	465 	37.3 	8.6 	2008/6/27
6291	機械	日本エアーテック	"4,165,154 "	329 	40.6 	13.6 	2010/3/26
6292	機械	カワタ	"4,694,000 "	190 	40.2 	13.0 	2010/6/29
6293	機械	日精樹脂工業	"3,719,000 "	555 	40.5 	18.5 	2010/6/29
6294	機械	オカダアイヨン	"4,715,000 "	140 	38.5 	13.0 	2010/6/28
6295	機械	富士変速機	"4,950,000 "	268 	40.3 	14.9 	2010/3/25
6296	上場廃止	ロキテクノ	"4,901,000 "	441 	36.7 	9.8 	2009/12/8
6297	機械	鉱研工業	"5,496,000 "	181 	47.5 	19.6 	2010/6/22
6298	機械	ワイエイシイ	"4,699,167 "	207 	42.0 	9.6 	2010/6/29
6299	機械	神鋼環境ソリューション	"7,235,000 "	"1,102 "	43.7 	15.3 	2010/6/29
6300	機械	アピックヤマダ	"4,668,962 "	375 	42.3 	18.8 	2010/6/28
6301	機械	コマツ	"6,703,678 "	"9,645 "	38.2 	15.3 	2010/6/24
6302	機械	住友重機械工業	"7,403,000 "	"2,748 "	42.2 	17.2 	2010/6/29
6303	機械	ササクラ	"5,694,000 "	333 	42.3 	17.8 	2010/6/29
6304	上場廃止	マキ製作所	"4,214,890 "	320 	43.8 	15.3 	2007/6/29
6305	機械	日立建機	"6,157,000 "	"4,408 "	38.7 	16.6 	2010/6/22
6306	機械	日工	"6,600,889 "	613 	45.3 	21.3 	2010/6/29
6307	機械	サンセイ	"5,248,001 "	170 	43.9 	13.4 	2010/6/28
6309	機械	巴工業	"7,867,000 "	418 	40.5 	14.3 	2010/1/28
6310	機械	井関農機	"5,552,723 "	744 	43.8 	18.0 	2010/6/25
6312	機械	フロイント産業	"5,858,137 "	192 	39.8 	11.6 	2010/5/28
6313	上場廃止	共立	"6,421,108 "	810 	41.1 	17.9 	2009/3/2
6314	機械	石井工作研究所	"3,982,752 "	275 	38.5 	16.7 	2010/6/25
6315	機械	ＴＯＷＡ	"4,229,961 "	476 	36.9 	11.7 	2010/6/30
6316	機械	丸山製作所	"5,620,459 "	520 	43.0 	18.0 	2009/12/18
6317	機械	北川鉄工所	"4,419,000 "	"1,103 "	42.3 	16.0 	2010/6/28
6319	鉄鋼	シンニッタン	"4,165,778 "	105 	42.6 	18.0 	2010/6/29
6320	上場廃止	新ダイワ工業	"6,294,852 "	423 	44.1 	19.6 	2008/6/27
6321	機械	ＩＨＩ運搬機械	"6,511,964 "	"1,480 "	38.6 	13.5 	2010/6/24
6322	機械	タクミナ	"5,233,000 "	267 	39.2 	13.9 	2010/6/21
6323	機械	ローツェ	"3,581,356 "	241 	39.2 	11.5 	2010/5/31
6324	機械	ハーモニック・ドライブ・システムズ	"7,084,973 "	276 	40.5 	15.7 	2010/6/18
6325	機械	タカキタ	"5,173,187 "	234 	40.6 	17.0 	2010/6/29
6326	機械	クボタ	"7,286,172 "	"9,379 "	41.1 	18.8 	2010/6/18
6327	機械	北川精機	"4,849,000 "	149 	39.9 	16.1 	2009/9/28
6328	機械	荏原実業	"5,822,000 "	441 	39.8 	11.0 	2010/3/26
6330	建設業	東洋エンジニアリング	"9,162,372 "	"1,460 "	44.2 	19.1 	2010/6/23
6331	機械	三菱化工機	"7,143,269 "	619 	43.8 	16.8 	2010/6/29
6332	機械	月島機械	"7,065,058 "	614 	43.8 	13.9 	2010/6/29
6333	機械	帝国電機製作所	"5,604,178 "	346 	37.1 	14.6 	2010/6/30
6334	機械	明治機械	"4,564,000 "	96 	38.9 	13.7 	2010/6/29
6335	機械	東京機械製作所	"6,178,835 "	581 	41.1 	19.0 	2010/6/30
6336	機械	石井表記	"4,223,603 "	396 	36.5 	10.8 	2010/4/28
6337	機械	テセック	"4,662,997 "	268 	40.7 	15.7 	2010/6/29
6338	機械	タカトリ	"4,181,239 "	211 	39.8 	14.9 	2009/12/24
6339	機械	新東工業	"5,632,000 "	"1,766 "	38.3 	14.8 	2010/6/25
6340	機械	澁谷工業	"5,595,371 "	"1,354 "	37.1 	14.2 	2009/9/25
6341	上場廃止	日立造船富岡機械	"5,017,000 "	69 	38.8 	14.9 	2004/6/29
6342	機械	太平製作所	"4,380,000 "	114 	43.5 	22.0 	2010/6/29
6343	機械	フリージア・マクロス	"4,004,000 "	47 	56.4 	13.6 	2010/6/30
6344	機械	キヤノンマシナリー	"5,657,672 "	828 	36.9 	13.9 	2010/3/26
6345	機械	アイチコーポレーション	"5,845,000 "	933 	39.9 	13.1 	2010/6/30
6346	機械	菊川鉄工所	"4,352,307 "	216 	43.8 	23.3 	2010/6/30
6347	機械	プラコー	"4,407,000 "	75 	46.0 	18.6 	2010/6/30
6349	機械	小森コーポレーション	"5,759,497 "	"1,308 "	38.7 	14.2 	2010/6/22
6350	上場廃止	新日本造機	"5,697,000 "	338 	38.4 	15.7 	2003/6/23
6351	機械	鶴見製作所	"5,311,000 "	919 	40.6 	13.7 	2010/6/30
6352	機械	トーヨーコーケン	"4,817,976 "	88 	43.2 	15.8 	2010/6/23
6354	上場廃止	日立機電工業	"6,027,150 "	663 	41.9 	18.1 	2005/6/24
6355	機械	住友精密工業					2010/6/30
6356	機械	日本ギア工業	"5,912,753 "	513 	39.8 	16.7 	2010/6/23
6357	機械	三精輸送機	"6,464,000 "	201 	41.1 	15.9 	2010/6/30
