証券コード	業種	会社名	平均年収	従業員数	平均年齢	平均勤続年数	情報公開日
1824	建設業	前田建設工業	"7,431,756 "	"3,020 "	42.0 	17.3 	2010/6/25
1826	建設業	佐田建設	"4,312,000 "	405 	44.0 	21.9 	2010/6/30
1827	建設業	ナカノフドー建設	"6,743,909 "	814 	44.9 	15.3 	2010/6/30
1828	建設業	田辺工業	"5,464,458 "	708 	40.8 	16.3 	2010/6/30
1832	建設業	北海電気工事	"6,502,348 "	"1,356 "	45.3 	18.0 	2010/6/30
1833	建設業	奥村組	"7,041,768 "	"2,166 "	44.0 	20.4 	2010/6/30
1834	建設業	大和小田急建設	"7,128,412 "	789 	42.3 	18.9 	2010/6/28
1835	建設業	東鉄工業	"7,024,682 "	"1,713 "	45.3 	11.4 	2010/6/28
1839	上場廃止	真柄建設	"5,289,340 "	328 	43.3 	20.7 	2009/6/29
1840	建設業	土屋ホールディングス	"5,057,322 "	9 	38.6 	13.2 	2010/1/28
1841	建設業	サンユー建設	"5,218,853 "	90 	44.7 	11.6 	2010/6/29
1844	建設業	大盛工業	"6,230,254 "	72 	43.0 	9.8 	2009/10/28
1845	上場廃止	森本組	"5,802,468 "	987 	39.5 	15.4 	2003/6/30
1846	建設業	鈴縫工業	"5,710,741 "	182 	47.2 	19.8 	2010/6/30
1847	建設業	イチケン	"6,118,012 "	504 	41.1 	14.4 	2010/6/29
1848	建設業	富士ピー・エス	"5,394,971 "	342 	43.2 	16.9 	2010/6/25
1850	建設業	南海辰村建設	"5,627,000 "	434 	43.4 	17.9 	2010/6/25
1851	上場廃止	大木建設	"5,365,172 "	802 	41.0 	17.5 	2004/8/30
1852	建設業	淺沼組	"6,318,567 "	"1,500 "	42.5 	19.8 	2010/6/28
1853	建設業	森組	"5,349,431 "	359 	42.6 	17.9 	2010/6/25
1854	上場廃止	新井組	"5,815,811 "	395 	43.1 	16.1 	2009/3/30
1855	上場廃止	東急建設	"6,421,683 "	23 	44.9 	20.6 	2006/6/28
